=== تحليل UTF-16 من ECAS.exe ===


== السلاسل حول zuakha (0x2d1dec) ±5000 بايت ==
[0x2d0ac8] "Us_PassWordHint"
[0x46b008] ".sestc8109CBts8109S"
[0x46b1e4] ".sestc8106CBts8106S"
[0x46b440] ".sesYPcB4994"
[0x46b4bc] "zuc4994"
[0x46b94c] ".sestc8100CBts8100S"
[0x46bb20] ".sestc8103CBts8103S"
[0x46bf68] ".sestc8101CBts8101S"
[0x46c628] ".sestc8102CBts8102S"
[0x46d218] ".sestc8104CBts8104S"
[0x46d8d8] ".sestc8105CBts8105S"
[0x46e4c8] ".sestc8107CBts8107S"
[0x46eb88] ".sestc8108CBts8108S"
[0x46f6c8] ".sestc8116CBts8116S"
[0x46f828] ".sestc8110CBts8110S"
[0x46faa8] ".sestc8113CBts8113S"
[0x46ff08] ".sestc8111CBts8111S"
[0x4705c8] ".sestc8112CBts8112S"
[0x4711d0] ".sestc8114CBts8114S"
[0x471890] ".sestc8115CBts8115S"
[0x472548] ".sestc8117CBts8117S"
[0x4727c4] ".sesShybryPowrB01"
[0x4727ec] "Ecas9101"
[0x472c38] ".sestc8118CBts8118S"
[0x4732f8] ".sestc8119CBts8119S"
[0x473538] "zuc9101"
[0x473e6c] ".sesJzyGpCBJzy12S"
[0x473ef0] "Ecas9102"
[0x473f08] "zuc9102"
[0x474508] "Ecas9103"
[0x474520] "zuc9103"
[0x474a78] "Ecas9104"
[0x474a90] "zuc9104"
[0x475180] "Ecas9105"
[0x475198] "zuc9105"
[0x47593c] ".sesMocShB01"
[0x475f88] ".sesByEgB01"
[0x47602c] "Ecas9107"
[0x476044] "zuc9107"
[0x4768c4] ".sesAsCB01"
[0x476f3c] ".sesQ4hlyCopB01"
[0x476fb4] "Ecas9109"
[0x476fcc] "zuc9109"
[0x4773cc] ".seskQysCB01FthS"
[0x477b28] ".sesHwGCB01HwGrpS"
[0x477bb0] "Ecas9111"
[0x477bc8] "zuc9111"
[0x478424] ".sesG_PCB01GhnPwrS"
[0x478a68] ".sesCLcSB01"
[0x478ad0] "Ecas9113"
[0x478ae8] "zuc9113"
[0x478f5c] "Ecas9114"
[0x478f74] "zuc9114"
[0x479338] ".sesDhbnPC01BS"
[0x4793d4] "Ecas9115"
[0x4793ec] "zuc9115"
[0x4796b8] "S180718b"
[0x479c4c] ".sesShsC01sApS"
[0x479ce4] "Ecas9116"
[0x479cfc] "zuc9116"
[0x47a3dc] ".seswSd@qCB01AS"
[0x47a454] "Ecas9117"
[0x47a46c] "zuc9117"
[0x47aa98] ".sespwr6ngCB01S"
[0x47ab28] "Ecas9118"
[0x47ab40] "zuc9118"
[0x47ad08] "SKHynix_HFS512GD9TNG-L5B0B"
[0x47b300] ".sesasm9wrCB01"
[0x47b398] "Ecas9119"
[0x47b3b0] "zuc9119"
[0x47b7f4] ".sesAm3dEm@dC_BH$"
[0x47ba58] "Ecas9120"
[0x47ba70] "zuc9120"
[0x47bf58] "zuc_9220"
[0x47bf70] "zuc9220"
[0x47c118] ".sesFJC_SQL_n01"
[0x47c13c] "Ecas9220"
[0x47c67c] ".sesSJcB01"
[0x47c698] "rpt9121_Sam_ALQyeadah.OCL"
[0x47cbac] ".sesSJ_S9L_cB01"
[0x47cc28] "Ecas9221"
[0x47cc40] "zuc9221"
[0x47d194] ".sesM9PCQl3syBrn"
[0x47de24] ".seshqCB01"
[0x47de88] "Ecas9124"
[0x47dea0] "zuc9124"
[0x47e390] ".sesFKMCB01"
[0x47e99c] ".sesJSCB01"
[0x47ea00] "Ecas9126"
[0x47ea18] "zuc9126"
[0x47f0ec] ".sesODICB01"
[0x47f780] ".sesHPCB01"
[0x47f7e0] "Ecas9128"
[0x47f7f8] "zuc9128"
[0x47ff44] ".sesBhrmCBNorS01"
[0x47ffb0] "Ecas9129"
[0x47ffc8] "zuc9129"
[0x480604] ".sesM0t3W@qCsKyWaTS"
[0x48067c] "zuc9130"
[0x480928] ".sesMAHtmCB01OSLS"
[0x480d80] "Ecas9131"
[0x480d98] "zuc9131"
[0x4813e8] ".sesA2sCB01"
[0x4819d0] ".sesmshwlyCBMshd01"
[0x481f74] ".sesAmWqd3CB@T34"
[0x481ff8] "Ecas9134"
[0x482010] "zuc9134"
[0x482780] ".sesMATB01"
[0x4827f4] "Ecas9135"
[0x48280c] "zuc9135"
[0x482ff8] ".sesMkyThoreyaB01"
[0x4830a4] "Ecas9136"
[0x4830bc] "zuc9136"
[0x483a1c] "Ecas9137"
[0x483a34] "zuc9137"
[0x48418c] "Ecas9138"
[0x4841a4] "zuc9138"
[0x4847fc] ".sesMjdCBRbi3"
[0x484f18] ".sesRpCB01bbS"
[0x484f48] "Ecas9140"
[0x484f60] "zuc9140"
[0x4855a8] ".sesOldJandMCBJM12S"
[0x485ca8] ".sesRym4PorCB01bbS"
[0x485fb8] "Ma3berPower.yedns.org"
[0x486108] ".sesMohAb$CBM3brS"
[0x48618c] "Ecas9143"
[0x4861a4] "zuc9143"
[0x48620c] "Ma3berServer"
[0x486794] "Ecas9144"
[0x4867ac] "zuc9144"
[0x486bd8] ".sesAbAmarcanC01S"
[0x486c5c] "zuc9145"
[0x4879bc] "zuc9148"
[0x487ce4] ".ses3ZCB01E1S"
[0x487d6c] "Ecas9148"
[0x4883d0] ".sesAb0AmarcanCB49S"
[0x488458] "zuc9149"
[0x488864] ".sestcNblAsiTjdydCB2AteqS"
[0x488910] "Ecas9150"
[0x488928] "zuc9150"
[0x488f90] ".sesMshCBb2Bs"
[0x489c3c] "Ecas9153"
[0x489c54] "zuc9153"
[0x48ade0] ".sestchahmCBts9157S"
[0x48afc8] ".sesMrdHshbryCBMH1S"
[0x48b60c] "Ecas9157"
[0x48b624] "zuc9157"
[0x48bd6c] ".sestchahmCBts9158S"
[0x48be08] "Ecas9158"
[0x48be20] "zuc9158"
[0x48c38c] "Ecas9159"
[0x48c3a4] "zuc9159"
[0x48c9b0] "Ecas9160"
[0x48c9c8] "zuc9160"
[0x48d75c] ".sestc9162CBts9162S"
[0x48de38] ".sestc9163CBts9163S"
[0x48e434] ".sestc9164CBts9164S"
[0x48eae8] ".sestc9165CBts9165S"
[0x48ed68] ".sestc9168CBts9168S"
[0x48f1dc] ".sestc9166CBts9166S"
[0x48f89c] ".sestc9167CBts9167S"
[0x4904cc] ".sestc9169CBts9169S"
[0x490b78] ".sesHathrmyAkrmB01"
[0x4911d4] ".sesHathrmyAkrmB02"
[0x4917f8] ".sesHathrmyCB03Radhmah"
[0x491d48] ".sesHathrmyCB04Jobn"
[0x4922e8] ".sesHathrmyCB05Hajaj"
[0x492888] ".sesKhBCB01"
[0x492908] "Ecas9460"
[0x492920] "zuc9460"
[0x492f38] ".sesemcB84"
[0x493580] ".sesemcB01"
[0x49359c] "zuc9981"
[0x493ae4] ".sesemcB02"
[0x493b00] "zuc9982"
[0x493e14] ".sesemcB03"
[0x493fd0] "zuc9983"
[0x4947b8] "zuc9984"
[0x494acc] ".sesAS2CB01"
[0x494ae8] "zuc9990"
[0x49ddac] "vDbn_Note2"
[0x4c00f4] "tmpQ_4Update_AccBalSheet"
[0x4c5b24] "vNewCstCode12"
[0x4c5ecc] "vNewCstCode1"
[0x4c5eec] "vNewCstCode2"
[0x4d3820] "_pu00_"
[0x4d3834] "_pu99_"
[0x4d3848] "_pu01_"
[0x4d3868] "_pu02_"
[0x4d3e88] ".sesemcB80"
[0x4f7434] "e03_Add2DigNum"
[0x5109ac] "yz_sp_4Exec_AnySqlStatement"
[0x53de2c] "Ctg_NumInMsUn2"
[0x54af24] "GroupHeaderSection3"
[0x54d4f8] "DetailSection1"
[0x58d304] "Alnajmpower11"
[0x58da34] "LitYidSMS@123"
[0x58e810] "LitAkrmHathrmyEcas9443@255"
[0x5bceb8] "Cst_ExtraFld2"
[0x5bced8] "Cst_ExtraFld3"
[0x5bd2b0] "Cst_ExtraFld1"
[0x5e0018] "Cst_CountNo2"
[0x5e1fd4] "MD5_Hash_Class"
[0x61c2f8] "Sheet1"
[0x61c30c] "Sheet2"
[0x61c320] "Sheet3"
[0x627468] "vGpBy_Caption_1"
[0x6274a4] "vGpBy_ID_1"
[0x6274dc] "vGpBy_Name_1"
[0x65b270] "Dbn_Ref2ID"
[0x666dac] "Strg_ID2"
[0x68f12c] "WinHttp.WinHttpRequest.5.1"
[0x69ae8c] "AaaOld_G_etDelivery_1_Report"
[0x69b0c0] "smsId2"
[0x69ebac] "AaaOld_G_etDelivery_2_Report"
[0x69ef20] "Send_Spb1_SmsMsg"
[0x69fba8] "GetSender_2_DeliveryReport"
[0x69fd6c] "GetSender_1_DeliveryReport"
[0x6a8aac] "SendMltDifMsg_2_DifPhone"
[0x6c7690] "e01_Normal"
[0x6c7a60] "e02_FullNormal"
[0x6cef14] "Cshr_HidSrchIcn4Pay"
[0x6cef40] "Cshr_MustGiveGPS4Pay"
[0x6cef70] "Cshr_HidPrintIcn4Bill"
[0x6cf148] "Cshr_HidSrchIcn4Read"
[0x6cf178] "Cshr_MustGiveGPS4Read"
[0x6cf230] "Cshr_HidSrchIcn4CstUpDate"
[0x6cf268] "Cshr_HidSrchIcn4OtherOpr"
[0x6cf48c] "e05_GUID"
[0x6cf978] "Cshr_IsTeleNoBelong2Comp"
[0x6cf9b0] "Cshr_IsPhoneBelong2Comp"
[0x6cfa08] "e02_Random"
[0x6cfdf0] "e04_Gsn1L5N"
[0x6d0c08] "e06_UID"
[0x6d11a4] "e03_Gsn1"
[0x6d1b44] "e01_SerialOle"
[0x6d6a9c] "e04_Add2DigAlphArb"
[0x6d6ac8] "e05_Add1DigAlphEng"
[0x6d6af4] "e06_Add1Simpol"
[0x6d8c04] "0__A___Pictures.html"
[0x6d90b0] "QR_EncodingCls.pF05_Get_GUID"
[0x6d90f0] "QR_EncodingCls.pF06_Create_UID"
[0x6d958c] "QR_GenPicCls.gf_Load_Png_2_Ico"
[0x6d9630] "QRCodeGen2_BarCode"
[0x6d965c] "QRCodeGen2_Encode"
[0x6d9720] "QRCodeGen2_MakeBytes"
[0x6d9750] "QRCodeGen2_EncodeSegments"
[0x6d97c0] "QRCodeGen2_ConvertToPicture"
[0x6d97fc] "QRCodeGen2_GetModule"
[0x6d982c] "QRCodeGen2_GetSize"
[0x6d9858] "StrToUtf8"
[0x6de6c4] "Command7"
[0x6def44] "_x0000_s68609"
[0x6e4654] "Cshr_ValidDbnList4Fncl"
[0x6e4688] "Cshr_ValidDbnList4Inv"
[0x9518a4] "DataComOth_2Cond"
[0x951da0] "DataComOth_2Cond"
[0x9521ce] "DataComOth_2Cond"
[0x9522c8] "DataComOth_2Cond"
[0x9523c2] "DataComOth_2Cond"
[0x9524b8] "DataComOth_2Cond"
[0xac7a28] "Adodc1"
[0xb02078] "Adodc1"
[0xb158ac] "Adodc1"
[0xf01492] "Adodc1"
[0xfee0f6] "eRS_Commit3"
[0x1011968] "Adodc1"
[0x102073e] "Ole10Native"
[0x10886e0] "Ole10Native"
[0x10f107a] "Ole10Native"
[0x112634a] "Ole10Native"
[0x115ae1a] "Ole10Native"
[0x11f9496] "Ole10Native"
[0x1263030] "Ole10Native"
[0x12ccdd2] "Ole10Native"
[0x13018ae] "Ole10Native"
[0x1336b7c] "Ole10Native"
[0x136bc4c] "Ole10Native"
[0x13d59ec] "Ole10Native"
[0x140b0ba] "Ole10Native"
[0x14aa338] "Ole10Native"
[0x15148e6] "Ole10Native"
[0x15499b0] "Ole10Native"
[0x157f07c] "Ole10Native"
[0x15b454c] "Ole10Native"
[0x15e9c1c] "Ole10Native"
[0x161f6ee] "Ole10Native"
[0x16549c6] "Ole10Native"
[0x168a296] "Ole10Native"
[0x172ad0e] "Ole10Native"
[0x17cbf94] "Ole10Native"
[0x1801660] "Ole10Native"
[0x183752a] "Ole10Native"
[0x18a2ad2] "Ole10Native"
[0x18d89a6] "Ole10Native"
[0x197a43a] "Ole10Native"
[0x1a51b90] "Ole10Native"
[0x1a8785c] "Ole10Native"
[0x1abdb2c] "Ole10Native"
[0x1af41fa] "Ole10Native"
[0x1b29cca] "Ole10Native"
[0x1b5fda0] "Ole10Native"
[0x1b95a76] "Ole10Native"
[0x1ca54b6] "Ole10Native"
[0x1d47b26] "Ole10Native"
[0x1d7d9fe] "Ole10Native"
[0x1e20888] "Ole10Native"
[0x1e8d82e] "Ole10Native"
[0x1f9dc66] "Ole10Native"
[0x1fd433e] "Ole10Native"
[0x20e517c] "Ole10Native"
[0x211be58] "Ole10Native"
[0x2152928] "Ole10Native"
[0x21897f8] "Ole10Native"
[0x21f6fa2] "Ole10Native"
[0x23402ae] "Ole10Native"
[0x23e5132] "Ole10Native"
[0x241ce0e] "Ole10Native"
[0x252fe48] "Ole10Native"
[0x259dfec] "Ole10Native"
[0x25d5abc] "Ole10Native"
[0x260cd8e] "Ole10Native"
[0x264445e] "Ole10Native"
[0x267b934] "Ole10Native"
[0x2721db6] "Ole10Native"
[0x2759a92] "Ole10Native"
[0x27c9c30] "Ole10Native"
[0x2874abe] "Ole10Native"
[0x28eb680] "Adodc1"
[0x29256f8] "Ole10Native"
[0x29654c8] "Section4"
[0x29654ec] "Section2"
[0x2965510] "Shape1"
[0x296553c] "Shape6"
[0x29655f4] "Image1"
[0x2965670] "LabRptDate1"
[0x29656d8] "LabRptDate2"
[0x29657ac] "Label43"
[0x2965814] "Label46"
[0x2965880] "Label10"
[0x29658e8] "Label42"
[0x2965b18] "Image2"
[0x2965b4c] "Section1"
[0x2965d64] "Section3"
[0x2965d88] "Shape8"
[0x2965e08] "Label26"
[0x2965e64] "Label27"
[0x2965ff0] "Label4"
[0x29660e4] "Label11"
[0x29661d4] "Label17"
[0x29662bc] "Shape4"
[0x2966390] "LabPageCaption2"
[0x29663e4] "LabPageCaption3"
[0x2966438] "LabPageCaption1"
[0x296662c] "Section5"
[0x2966650] "Label1"
[0x29666a4] "Shape9"
[0x2966818] "Label5"
[0x29b16d8] "Section4"
[0x29b16fc] "Section2"
[0x29b1720] "Shape1"
[0x29b174c] "Shape6"
[0x29b1804] "Image1"
[0x29b1880] "LabRptDate1"
[0x29b18e8] "LabRptDate2"
[0x29b19bc] "Label43"
[0x29b1a20] "Label46"
[0x29b1a88] "Label10"
[0x29b1ae4] "Label42"
[0x29b1b8c] "Label3"
[0x29b1d70] "Image2"
[0x29b1da4] "Section1"
[0x29b1ff4] "Section3"
[0x29b2018] "Shape8"
[0x29b2098] "Label26"
[0x29b20f4] "Label27"
[0x29b2280] "Label4"
[0x29b2374] "Label11"
[0x29b2464] "Label17"
[0x29b254c] "Shape4"
[0x29b2620] "LabPageCaption2"
[0x29b2674] "LabPageCaption3"
[0x29b26c8] "LabPageCaption1"
[0x29b28bc] "Section5"
[0x29b28e0] "Label1"
[0x29b2934] "Shape9"
[0x29b2a70] "Label5"
[0x29fdab4] "Section4"
[0x29fdad8] "Section2"
[0x29fdafc] "Shape7"
[0x29fdb30] "Shape4"
[0x29fdb60] "Shape1"
[0x29fdb8c] "Shape6"
[0x29fdc40] "Image1"
[0x29fdcbc] "LabRptDate1"
[0x29fdd24] "LabRptDate2"
[0x29fddf8] "Label14"
[0x29fdedc] "Label18"
[0x29fdf94] "Label19"
[0x29fe044] "Label24"
[0x29fe0fc] "Label28"
[0x29fe1a8] "Label3"
[0x29fe280] "Label9"
[0x29fe344] "Label23"
[0x29fe48c] "Label1"
[0x29fe4ec] "Label8"
[0x29fe550] "Shape2"
[0x29fe5a8] "Label22"
[0x29fe660] "Label30"
[0x29fe70c] "Label20"
[0x29fe7c0] "Label10"
[0x29fe86c] "Label12"
[0x29fe928] "Label2"
[0x29feb70] "Image2"
[0x29feba4] "Section1"
[0x29febc8] "Label54"
[0x29fec70] "Section3"
[0x29fecbc] "Shape5"
[0x29fecec] "Label4"
[0x29feddc] "Label11"
[0x29feec4] "Label26"
[0x29fef1c] "Label27"
[0x29ff09c] "Label13"
[0x29ff17c] "Label15"
[0x29ff25c] "Label17"
[0x29ff360] "Shape11"
[0x29ff430] "LabPageCaption2"
[0x29ff480] "LabPageCaption3"
[0x29ff4d0] "LabPageCaption1"
[0x29ff6c0] "Section5"
[0x2a4a5b4] "Section4"
[0x2a4a5d8] "Section2"
[0x2a4a5fc] "Shape7"
[0x2a4a630] "Shape4"
[0x2a4a660] "Shape1"
[0x2a4a68c] "Shape6"
[0x2a4a738] "Image1"
[0x2a4a7b4] "LabRptDate1"
[0x2a4a81c] "LabRptDate2"
[0x2a4a8f0] "Label14"
[0x2a4a9d8] "Label18"
[0x2a4aa94] "Label19"
[0x2a4ab48] "Label24"
[0x2a4ac04] "Label28"
[0x2a4acb4] "Label3"
[0x2a4ad90] "Label9"
[0x2a4ae58] "Label23"
[0x2a4afa4] "Label1"
[0x2a4b000] "Label8"
[0x2a4b060] "Shape2"
[0x2a4b0b8] "Label22"
[0x2a4b168] "Label30"
